LangueID,Terme,LienWikidata
130,tigrinya,http://www.wikidata.org/entity/Q34124
131,tonga,http://www.wikidata.org/entity/Q3073453
132,tsonga,http://www.wikidata.org/entity/Q34327
133,turc,http://www.wikidata.org/entity/Q256
134,turkmène,http://www.wikidata.org/entity/Q9267
135,ukrainien,http://www.wikidata.org/entity/Q8798
136,vietnamien,http://www.wikidata.org/entity/Q9199
137,volapük,http://www.wikidata.org/entity/Q36986
138,xhosa,http://www.wikidata.org/entity/Q13218
139,yiddish,http://www.wikidata.org/entity/Q8641
140,yorouba,http://www.wikidata.org/entity/Q34311
141,zoulou,http://www.wikidata.org/entity/Q10179
145,sans paroles,
146,cri,http://www.wikidata.org/entity/Q33390
147,cantonnais,http://www.wikidata.org/entity/Q9186
148,mandarin,http://www.wikidata.org/entity/Q9192
149,inventé,
150,attikamek,http://www.wikidata.org/entity/Q56590
151,malécite,http://www.wikidata.org/entity/Q3183144
152,peul,http://www.wikidata.org/entity/Q33454
153,bambara,http://www.wikidata.org/entity/Q33243
154,kabyle,http://www.wikidata.org/entity/Q35853
155,divehi,http://www.wikidata.org/entity/Q32656
156,lango,http://www.wikidata.org/entity/Q223306
157,acholi,http://www.wikidata.org/entity/Q34926
158,tchétchène,http://www.wikidata.org/entity/Q33350
159,mohawk,http://www.wikidata.org/entity/Q13339
160,inuit,http://www.wikidata.org/entity/Q27796
161,algonquin,http://www.wikidata.org/entity/Q28092
162,wolof,http://www.wikidata.org/entity/Q34257
163,dari,http://www.wikidata.org/entity/Q178440
164,sioux,http://www.wikidata.org/entity/Q13268
165,berbère,http://www.wikidata.org/entity/Q25448
166,bosnien,http://www.wikidata.org/entity/Q9303
167,soussou,http://www.wikidata.org/entity/Q33990
168,igbo,http://www.wikidata.org/entity/Q33578
169,minnan,http://www.wikidata.org/entity/Q36495
170,innu-aimun,http://www.wikidata.org/entity/Q13351
171,douala,http://www.wikidata.org/entity/Q33013
172,soninké,http://www.wikidata.org/entity/Q36660
173,flamand,http://www.wikidata.org/entity/Q34147
174,bomu,http://www.wikidata.org/entity/Q35065
175,dioula,http://www.wikidata.org/entity/Q32706
176,Dzongkha,http://www.wikidata.org/entity/Q33081
177,bunong,http://www.wikidata.org/entity/Q6886053
178,krio,http://www.wikidata.org/entity/Q35744
179,same,http://www.wikidata.org/entity/Q56463
180,ojibwé,http://www.wikidata.org/entity/Q33875
181,farsi,http://www.wikidata.org/entity/Q9168
182,moré,http://www.wikidata.org/entity/Q36096
183,cebuano,http://www.wikidata.org/entity/Q33239
184,kelabit,http://www.wikidata.org/entity/Q6385445
185,naskapi,http://www.wikidata.org/entity/Q1704302
186,abenakis,http://www.wikidata.org/entity/Q197936
187,gilbertin,http://www.wikidata.org/entity/Q30898
